Date,Site,Country,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate
11/10/24,funtimeh5.site,United Kingdom,"3,395",96,2.83%,85.29,25.12,"3,625",97.30%
11/10/24,funtimeh5.site,United States,"9,843",190,1.93%,363.57,36.94,"14,104",90.57%
11/10/24,funtimeh5.site,Venezuela,8,1,12.50%,0.00,0.50,10,100.00%
11/10/24,skylandh5games.site,N/A,0,0,0.00%,0.00,0.00,2,100.00%
11/10/24,skylandh5games.site,Australia,"1,461",28,1.92%,41.06,28.11,"1,723",96.34%
11/10/24,skylandh5games.site,Austria,"9,896",283,2.86%,331.16,33.46,"10,687",95.66%
11/10/24,skylandh5games.site,Belgium,"7,513",191,2.54%,184.93,24.61,"8,075",96.16%
11/10/24,skylandh5games.site,Brazil,"1,047",17,1.62%,4.92,4.70,"1,249",95.92%
11/10/24,skylandh5games.site,Canada,580,6,1.03%,18.97,32.70,757,90.89%
11/10/24,skylandh5games.site,Chile,"1,051",17,1.62%,4.30,4.10,"1,240",97.02%
11/10/24,skylandh5games.site,Estonia,8,1,12.50%,0.19,23.16,8,100.00%
11/10/24,skylandh5games.site,France,"1,237",26,2.10%,32.16,26.00,"1,281",98.75%
11/10/24,skylandh5games.site,Germany,"2,996",71,2.37%,111.26,37.14,"3,182",97.45%
11/10/24,skylandh5games.site,Greece,"3,738",98,2.62%,34.27,9.17,"3,943",97.51%
11/10/24,skylandh5games.site,Hungary,8,1,12.50%,0.06,7.13,9,100.00%
11/10/24,skylandh5games.site,Italy,"4,080",109,2.67%,65.07,15.95,"4,527",93.00%
11/10/24,skylandh5games.site,Jamaica,4,0,0.00%,0.01,2.43,5,100.00%
11/10/24,skylandh5games.site,Luxembourg,4,0,0.00%,0.05,13.48,4,100.00%
11/10/24,skylandh5games.site,Singapore,"1,039",22,2.12%,14.70,14.15,"1,243",95.90%
11/10/24,skylandh5games.site,Spain,855,18,2.11%,12.60,14.74,895,98.10%
11/10/24,skylandh5games.site,Ukraine,0,0,0.00%,0.00,0.00,5,100.00%
11/10/24,skylandh5games.site,United Kingdom,822,19,2.31%,21.78,26.50,868,98.39%
11/10/24,skylandh5games.site,United States,"2,961",60,2.03%,115.59,39.04,"3,922",87.51%
11/10/24,vanguardh5.site,N/A,30,0,0.00%,0.02,0.65,38,100.00%
11/10/24,vanguardh5.site,Antigua and Barbuda,5,0,0.00%,0.01,1.44,6,100.00%
11/10/24,vanguardh5.site,Bermuda,10,0,0.00%,0.07,7.18,12,100.00%
11/10/24,vanguardh5.site,Brazil,"1,916",40,2.09%,8.40,4.38,"2,646",94.56%
11/10/24,vanguardh5.site,Canada,"5,240",126,2.40%,195.15,37.24,"7,747",92.11%
11/10/24,vanguardh5.site,Finland,"1,621",46,2.84%,69.62,42.95,"2,008",86.30%
11/10/24,vanguardh5.site,France,"6,402",132,2.06%,137.53,21.48,"7,000",97.09%
11/10/24,vanguardh5.site,French Guiana,30,1,3.33%,0.14,4.60,31,100.00%
11/10/24,vanguardh5.site,Germany,"5,946",173,2.91%,160.09,26.92,"6,589",95.74%
11/10/24,vanguardh5.site,Greece,"4,157",97,2.33%,38.00,9.14,"4,699",94.81%
11/10/24,vanguardh5.site,Indonesia,690,19,2.75%,1.11,1.61,"1,049",85.89%
11/10/24,vanguardh5.site,Iraq,5,0,0.00%,0.01,1.20,6,100.00%
11/10/24,vanguardh5.site,Italy,5,0,0.00%,0.06,12.70,5,100.00%
11/10/24,vanguardh5.site,Japan,"1,379",34,2.47%,37.74,27.37,"2,030",87.64%
11/10/24,vanguardh5.site,Netherlands,"1,496",35,2.34%,55.23,36.92,"1,713",94.57%
11/10/24,vanguardh5.site,Niger,3,0,0.00%,0.00,0.33,0,0.00%
11/10/24,vanguardh5.site,Nigeria,5,0,0.00%,0.01,1.15,6,100.00%
11/10/24,vanguardh5.site,Portugal,"2,694",80,2.97%,24.47,9.08,"3,367",85.42%
11/10/24,vanguardh5.site,"Saint Helena, Ascension and Tristan da Cunha",6,1,16.67%,0.00,0.70,8,100.00%
11/10/24,vanguardh5.site,Saint Kitts and Nevis,3,0,0.00%,0.00,0.99,4,100.00%
11/10/24,vanguardh5.site,Spain,3,0,0.00%,0.03,9.85,4,100.00%
11/10/24,vanguardh5.site,Switzerland,"1,444",36,2.49%,69.28,47.98,"1,701",91.01%
11/10/24,vanguardh5.site,United Arab Emirates,3,0,0.00%,0.00,0.91,4,100.00%
11/10/24,vanguardh5.site,Ukraine,5,0,0.00%,0.02,3.16,6,100.00%
11/10/24,vanguardh5.site,United Kingdom,"4,434",98,2.21%,131.09,29.57,"4,972",95.15%
11/10/24,vanguardh5.site,United States,"3,877",108,2.79%,161.28,41.60,"6,085",85.23%
11/10/24,vanguardh5.site,U.S. Virgin Islands,3,0,0.00%,0.02,7.05,4,100.00%
11/10/24,vanguardh5.site,Venezuela,3,0,0.00%,0.00,0.83,4,100.00%
11/11/24,cloudgaminghub.site,N/A,70,0,0.00%,0.42,5.99,100,86.00%
11/11/24,cloudgaminghub.site,Australia,"2,178",50,2.30%,64.55,29.64,"2,997",87.49%
11/11/24,cloudgaminghub.site,Armenia,4,0,0.00%,0.01,1.60,5,100.00%
11/11/24,cloudgaminghub.site,Brazil,"3,334",67,2.01%,16.72,5.01,"4,526",88.05%
11/11/24,cloudgaminghub.site,Canada,"1,745",38,2.18%,61.30,35.13,"2,811",84.20%
11/11/24,cloudgaminghub.site,China,0,0,0.00%,0.00,0.00,8,25.00%
11/11/24,cloudgaminghub.site,Costa Rica,0,0,0.00%,0.00,0.00,5,100.00%
11/11/24,cloudgaminghub.site,Finland,462,12,2.60%,13.22,28.61,520,99.81%
11/11/24,cloudgaminghub.site,France,"2,199",54,2.46%,55.09,25.05,"3,534",83.87%
11/11/24,cloudgaminghub.site,French Guiana,17,0,0.00%,0.09,5.10,19,100.00%
11/11/24,cloudgaminghub.site,Germany,765,22,2.88%,53.59,70.05,"1,217",87.92%
11/11/24,cloudgaminghub.site,Greece,"2,417",67,2.77%,19.51,8.07,"3,316",84.80%
11/11/24,cloudgaminghub.site,Indonesia,13,0,0.00%,0.02,1.24,17,100.00%
11/11/24,cloudgaminghub.site,Iraq,6,0,0.00%,0.01,0.96,10,80.00%
11/11/24,cloudgaminghub.site,Italy,"3,903",102,2.61%,55.75,14.28,"6,426",75.07%
11/11/24,cloudgaminghub.site,Jamaica,6,0,0.00%,0.03,5.73,7,100.00%
11/11/24,cloudgaminghub.site,Jordan,3,0,0.00%,0.01,4.22,5,80.00%
11/11/24,cloudgaminghub.site,Martinique,4,0,0.00%,0.01,3.38,5,100.00%
11/11/24,cloudgaminghub.site,Morocco,6,0,0.00%,0.01,2.01,7,85.71%
11/11/24,cloudgaminghub.site,Netherlands,"5,358",152,2.84%,187.58,35.01,"8,469",76.48%
11/11/24,cloudgaminghub.site,Romania,4,0,0.00%,0.03,7.43,5,100.00%
11/11/24,cloudgaminghub.site,Saint Kitts and Nevis,3,0,0.00%,0.00,0.91,5,80.00%
11/11/24,cloudgaminghub.site,Singapore,"6,458",138,2.14%,116.27,18.00,"10,442",83.29%
11/11/24,cloudgaminghub.site,Switzerland,832,15,1.80%,50.56,60.77,"1,190",91.60%
11/11/24,cloudgaminghub.site,United Arab Emirates,3,0,0.00%,0.00,1.34,5,80.00%
11/11/24,cloudgaminghub.site,United Kingdom,"1,086",33,3.04%,38.07,35.06,"1,796",90.70%
11/11/24,cloudgaminghub.site,United States,"1,561",38,2.43%,67.43,43.20,"2,396",79.84%
11/11/24,funtimeh5.site,N/A,95,5,5.26%,0.15,1.58,116,99.14%
11/11/24,funtimeh5.site,Antigua and Barbuda,12,0,0.00%,0.01,1.01,14,100.00%
11/11/24,funtimeh5.site,Australia,"2,566",56,2.18%,68.94,26.87,"3,586",89.40%
11/11/24,funtimeh5.site,Armenia,4,1,25.00%,0.00,0.72,4,100.00%
11/11/24,funtimeh5.site,Brazil,876,17,1.94%,4.23,4.83,"1,069",97.38%
11/11/24,funtimeh5.site,Canada,653,18,2.76%,19.02,29.13,843,95.02%
11/11/24,funtimeh5.site,Chile,722,10,1.39%,3.00,4.16,861,98.37%
11/11/24,funtimeh5.site,China,11,0,0.00%,0.02,1.92,20,100.00%
11/11/24,funtimeh5.site,Czechia,3,0,0.00%,0.00,0.62,4,100.00%
11/11/24,funtimeh5.site,France,"2,307",58,2.51%,49.83,21.60,"2,535",95.27%
11/11/24,funtimeh5.site,French Guiana,3,0,0.00%,0.01,1.81,3,100.00%
11/11/24,funtimeh5.site,Germany,832,28,3.37%,20.42,24.54,903,95.79%
11/11/24,funtimeh5.site,Greece,"2,307",69,2.99%,18.08,7.84,"2,561",94.10%
